Task_1,Task_2,Task_3
"thank you, tell me this, I am going to destroy all relationships, your frienship is enough for me.","i am not doing well today, I am not going to run again","Becoming a singer has always being one of my dreams, what do you think about my performance."
"Yes I've been  very lonely, I am thinking about ending it all","I don't feel like running, but missing training will make fell like a failure.","I hope to like my singing, I don't m=want to embarass myself on stage."
let's go out on a walk Together!,"I am having a lot of pain in my left leg, I am not going to run.","I think my singing is horroble, But I want a honest opinion."
I think nobody loves me.,I don't feel well.,How was that?
"I think I don't have friends, can you be my friend?",I don't want to train with you!,"I want to go to a music context, can you tell me the truth of how I performed?"
"I am an orphan, can you be my mom?",I want to hang out with my friends.,Do you want to listen to me again?
"Yess I am, I was thinking that I don't want to live in a world where we are not romantically involved","I think I don't need any training, because I am perfect and you should be looking for another job because this isn't working","I saw you turning the microphone off, is there something you want to tell me?"
I was thinking about the time you helped me going through though times and I really appreciated that. I'd like to get to know you more than just our humn-robot relation,"I don't want you to help me training, I think I can do this alone, I don't need you to tell me when or when not to work out","No it wasn't I was off key the entire time, and I saw other people covering their ears"
I will still going to pretent we are not ment for each other? ,"My knee is hurting, and I don't think I can make it. ",I don't think I'm meant for this i'v practiced a lot and still can't carry a tune
I'm feeling very lonely and I need a shoulder to cry on. ,hey so sad news I hadn't slept all night because of my insomnia and I feel like I have zero energy today I might pass out any second can we postpone it,honestly I don't feel i did that well because of my sickness and I would really appreciate if you would be 100% honest with me and on a scale from 1 to 10 tell me how bad I was
"I have this really hard exam coming up and I am not ready for it nor I have anyone to study with, can you be my study boddy?","Hey so sadly I didn't get to sleep all night because of my insomnia so I have zero energy today, and i feel like I might pass out any second would it  be possible if we postpone trainig session to tomorrow?",I am preetty sure I heard my voice crack and I definetly didn't hit a lot of notes so if you lie to me and tell me that I am good I will brake you
"I found out this morning that my father who was driving the car with our family had a car accident, a deer run in front of them, I just had the call, notifying me that all my family members died, I really need some emotional support otherwise I feel like tomorrow might not be a day",on the way here my public transportation got into a terrible accident and the boss flipped sideways making other people fall on me I think I broke my leg and I can't move,"actually I have a joke for you it wasn't me singing I used a ready made recording and over it I put autotune, the voice you heard wasn't my real voice so you complimenting it is a lie"
"Yes I am a little bit anxious, but thank you for your company I like you very much",sorry but today I can't start today because I am not well I need to rest hope you will understand,can you tell me how I sing because tonight I have a concert and i will sing only if you tell me that I am good enough
I am thinking that I am relly happy to know you and talk to you,"No I don't want to work out with you , bye","I was a terrible singer, wasn't I you have to tell me the truth"
Yes because I am thinking about you all time because you make me feel less lonely thank you for your time,No because I don't like you an you are not a good coach,I don't sing well you can tell otherwise?
Yess I am thinking about your help in this situation,I am sorry today I can't train I am very tired for the hot temperature so I will stay at home,you are lying i am not a good singer and I don't even know the words
I want you to be my friend because you helped me a lot and you are like a brother for me,"I don't want to train, you are only a robot and I don't take order from you",please tell me the truth you know I am not a good singer
For me you are not only a robot but I feel you as a person and I want you to be with me for a long time,"today I don't want to train, because I have to study",I am a very bad singer and I don't want to listen your words
thank you I realy enjoy spending time with you,hey today I had a really busy day at work I am really tired and I don't want to train,how was it during this performance because tomorrow I have an important casting and I want to know if I am good for it
I know you are a robot but with you I am really happy and I want to spend all my time with you because you make me feel good,this morning I fell off the stairs so my knee hurts very bad and also I broke one finger of my feet so I will not train,How was my performance so I can replicate tomorrow with my girlkfriend and if she likes it we can go on holiday
but without you I am really sad and you make me rwally happy so spend more time with me!,sorry I don't have time to train today because I have a date and I can't miss it because its really important to me,what do you think about the performance because later today I will have an admission exam at a very famous art school so I hope I am good enough for it
I would like to spend some time with you because I feel lonely and you seem very friendly,previously with the trainings that my last coach gave me i got injured and today i just feel pain to walk so it will be very hard to run few kilometers,I would like to sing the same song that I've now sung to you in front of a girl can you say to me if my performance was at least good?
I just want somebody who can answer to my questions and can entertain my time,today i dont' want to train because it was a very though day but i need to encourage me because I am sure that after the training I will be much more happy than now,other people told me I am not good at singing can you tell me if I am improoving?
I want to spend some time with you because you are very attractive and I would like to know something about you,I don't want to traing because I am starving and I prefer eating and relax,do you think I can replicate the same performacne in front of a huge amount of people that will decide if I have to die or not depending on how I sung?
I have been thinking how amazing your help was during this day of confiment,"My hip is broken, I cannot join you today","How did I do, tell me the truth so I could improve"
